Gene,Sample,OTU,GeneCountPerGenome,OTUAbundanceInSample,CountContributedByOTU,ContributionPercentOfSample,ContributionPercentOfAllSamples,Kingdom,Phylum,Class,Order,Family,Genus,Species,,,,,,,,,,,,,,,
K03933,Average,817734,1,0.001979761,0.001979761,0.000707376,0.000707376,,,,,,,,817734,ASV0372,,,,,,,,,,,,,
K03933,Average,1111582,2,0.028290672,0.056581344,0.020216739,0.020216739,,,,,,,,1111582,ASV0417,ASV0500,ASV0219,ASV0089,ASV1339,ASV1773,ASV3500,,,,,,,
K03933,Average,1104592,1,0.000633202,0.000633202,0.000226246,0.000226246,,,,,,,,1104592,ASV3208,,,,,,,,,,,,,
K03933,Average,716006,1,0.001606746,0.001606746,0.000574097,0.000574097,,,,,,,,716006,ASV0674,,,,,,,,,,,,,
K03933,Average,646549,2,0.006447868,0.012895736,0.004607698,0.004607698,,,,,,,,646549,ASV0822,ASV6270,ASV0649,ASV0554,,,,,,,,,,
K03933,Average,839235,1,0.004392473,0.004392473,0.001569448,0.001569448,,,,,,,,839235,ASV0336,,,,,,,,,,,,,
K03933,Average,797229,1,0.642740323,0.642740323,0.229653674,0.229653674,,,,,,,,797229,ASV0008,,,,,,,,,,,,,
K03933,Average,545460,1,0.000925027,0.000925027,0.000330516,0.000330516,,,,,,,,545460,ASV3830,,,,,,,,,,,,,
K03933,Average,877752,1,0.001911423,0.001911423,0.000682959,0.000682959,,,,,,,,877752,ASV1877,,,,,,,,,,,,,
K03933,Average,624227,1,0.015353384,0.015353384,0.005485825,0.005485825,,,,,,,,624227,ASV0101,,,,,,,,,,,,,
K03933,Average,974121,2,0.001741305,0.00348261,0.00124435,0.00124435,,,,,,,,974121,ASV5585,ASV1324,ASV0186,ASV1394,ASV0495,ASV1205,ASV6268,ASV2363,,,,,,
K03933,Average,939811,1,2.03856254,2.03856254,0.728386503,0.728386503,,,,,,,,939811,ASV0556,ASV0024,ASV4239,,,,,,,,,,,
K03933,Average,410196,1,0.000476497,0.000476497,0.000170254,0.000170254,,,,,,,,410196,ASV0814,,,,,,,,,,,,,
K03933,Average,585394,2,0.006971313,0.013942626,0.004981756,0.004981756,,,,,,,,585394,ASV1952,,,,,,,,,,,,,
K03933,Average,1065974,1,0.000952994,0.000952994,0.000340509,0.000340509,,,,,,,,1065974,ASV4884,ASV0907,,,,,,,,,,,,
K03933,Average,585063,1,0.001375676,0.001375676,0.000491535,0.000491535,,,,,,,,585063,ASV2608,ASV0542,,,,,,,,,,,,
K03933,Average,331093,1,0.000925026,0.000925026,0.000330515,0.000330515,,,,,,,,331093,ASV2215,ASV1023,,,,,,,,,,,,
K01183,Average,106281,1,0.00944872,0.00944872,0.00011676,0.00011676,,,,,,,,106281,ASV0157,,,,,,,,,,,,,
K01183,Average,820370,1,0.002097938,0.002097938,2.59E-05,2.59E-05,,,,,,,,820370,ASV1543,ASV0605,,,,,,,,,,,,
K01183,Average,4432518,1,0.0015846,0.0015846,1.96E-05,1.96E-05,,,,,,,,4432518,ASV1003,,,,,,,,,,,,,
K01183,Average,817734,1,0.001979761,0.001979761,2.45E-05,2.45E-05,,,,,,,,817734,ASV0372,,,,,,,,,,,,,
K01183,Average,1104592,1,0.000633202,0.000633202,7.82E-06,7.82E-06,,,,,,,,1104592,ASV3208,,,,,,,,,,,,,
K01183,Average,823439,1,0.000422878,0.000422878,5.23E-06,5.23E-06,,,,,,,,823439,ASV1310,,,,,,,,,,,,,
K01183,Average,275246,3,21.48621989,64.45865966,0.79652857,0.79652857,,,,,,,,275246,ASV0613,ASV0004,,,,,,,,,,,,
K01183,Average,913174,1,0.001293368,0.001293368,1.60E-05,1.60E-05,,,,,,,,913174,ASV0318,,,,,,,,,,,,,
K01183,Average,716006,1,0.001606746,0.001606746,1.99E-05,1.99E-05,,,,,,,,716006,ASV0674,,,,,,,,,,,,,
K01183,Average,646549,1,0.006447868,0.006447868,7.97E-05,7.97E-05,,,,,,,,646549,ASV0822,ASV6270,ASV0649,ASV0554,,,,,,,,,,
K01183,Average,581409,2,0.002074334,0.004148668,5.13E-05,5.13E-05,,,,,,,,581409,ASV0767,ASV1099,ASV0742,ASV0576,,,,,,,,,,
K01183,Average,746675,2,0.001394263,0.002788526,3.45E-05,3.45E-05,,,,,,,,746675,ASV4145,ASV1906,,,,,,,,,,,,
K01183,Average,12457,1,0.001293368,0.001293368,1.60E-05,1.60E-05,,,,,,,,12457,ASV1098,,,,,,,,,,,,,
K01183,Average,807821,1,0.000646684,0.000646684,7.99E-06,7.99E-06,,,,,,,,807821,ASV4811,,,,,,,,,,,,,
K01183,Average,217732,1,5.192030749,5.192030749,0.064158964,0.064158964,,,,,,,,217732,ASV5364,ASV3967,ASV2453,ASV1483,ASV0018,ASV0057,ASV0870,ASV0126,ASV0364,ASV5504,ASV5301,ASV1073,ASV4436,ASV4425
K01183,Average,839235,1,0.004392473,0.004392473,5.43E-05,5.43E-05,,,,,,,,839235,ASV0336,,,,,,,,,,,,,
K01183,Average,1033018,2,0.004957986,0.009915972,0.000122534,0.000122534,,,,,,,,1033018,ASV0390,ASV1214,ASV1260,ASV1138,ASV1983,,,,,,,,,
K01183,Average,854050,1,0.001500074,0.001500074,1.85E-05,1.85E-05,,,,,,,,854050,ASV0114,,,,,,,,,,,,,
K01183,Average,797229,1,0.642740323,0.642740323,0.007942471,0.007942471,,,,,,,,797229,ASV0008,,,,,,,,,,,,,
K01183,Average,1074016,2,0.009530544,0.019061088,0.000235542,0.000235542,,,,,,,,1074016,ASV1060,ASV2289,ASV2264,,,,,,,,,,,
K01183,Average,208171,3,0.316325078,0.948975234,0.011726677,0.011726677,,,,,,,,208171,ASV0042,ASV0040,,,,,,,,,,,,
K01183,Average,352304,1,0.0001583,0.0001583,1.96E-06,1.96E-06,,,,,,,,352304,ASV0856,,,,,,,,,,,,,
K01183,Average,4481782,3,0.004335765,0.013007295,0.000160734,0.000160734,,,,,,,,4481782,ASV2172,,,,,,,,,,,,,
K01183,Average,517156,1,0.001586196,0.001586196,1.96E-05,1.96E-05,,,,,,,,517156,ASV1581,ASV2841,,,,,,,,,,,,
K01183,Average,875867,1,0.000612469,0.000612469,7.57E-06,7.57E-06,,,,,,,,875867,ASV2846,,,,,,,,,,,,,
K01183,Average,1106362,1,0.001905987,0.001905987,2.36E-05,2.36E-05,,,,,,,,1106362,ASV1401,,,,,,,,,,,,,
K01183,Average,211089,1,0.000949803,0.000949803,1.17E-05,1.17E-05,,,,,,,,211089,ASV2275,,,,,,,,,,,,,
K01183,Average,643362,2,0.002177665,0.00435533,5.38E-05,5.38E-05,,,,,,,,643362,ASV0595,,,,,,,,,,,,,
K01183,Average,545460,1,0.000925027,0.000925027,1.14E-05,1.14E-05,,,,,,,,545460,ASV3830,,,,,,,,,,,,,
K01183,Average,773575,1,0.012495444,0.012495444,0.000154409,0.000154409,,,,,,,,773575,ASV0762,ASV0830,ASV2966,,,,,,,,,,,
K01183,Average,828667,1,0.000275136,0.000275136,3.40E-06,3.40E-06,,,,,,,,828667,ASV0209,ASV2739,,,,,,,,,,,,
K01183,Average,4452842,1,0.001905988,0.001905988,2.36E-05,2.36E-05,,,,,,,,4452842,ASV2401,ASV2635,,,,,,,,,,,,
K01183,Average,359098,1,0.001439782,0.001439782,1.78E-05,1.78E-05,,,,,,,,359098,ASV0606,,,,,,,,,,,,,
K01183,Average,877752,1,0.001911423,0.001911423,2.36E-05,2.36E-05,,,,,,,,877752,ASV1877,,,,,,,,,,,,,
K01183,Average,589277,1,0.000476497,0.000476497,5.89E-06,5.89E-06,,,,,,,,589277,ASV2398,ASV0529,ASV1534,ASV0659,ASV1100,,,,,,,,,
K01183,Average,624227,1,0.015353384,0.015353384,0.000189725,0.000189725,,,,,,,,624227,ASV0101,,,,,,,,,,,,,
K01183,Average,1111517,1,0.000462513,0.000462513,5.72E-06,5.72E-06,,,,,,,,1111517,ASV3373,,,,,,,,,,,,,
K01183,Average,974121,2,0.001741305,0.00348261,4.30E-05,4.30E-05,,,,,,,,974121,ASV5585,ASV1324,ASV0186,ASV1394,ASV0495,ASV1205,ASV6268,ASV2363,,,,,,
K01183,Average,1080980,1,0.000476497,0.000476497,5.89E-06,5.89E-06,,,,,,,,1080980,ASV2945,,,,,,,,,,,,,
K01183,Average,556915,1,0.000791502,0.000791502,9.78E-06,9.78E-06,,,,,,,,556915,ASV3884,,,,,,,,,,,,,
K01183,Average,220524,1,0.001267999,0.001267999,1.57E-05,1.57E-05,,,,,,,,220524,ASV2221,,,,,,,,,,,,,
K01183,Average,939811,3,2.03856254,6.11568762,0.075572777,0.075572777,,,,,,,,939811,ASV0556,ASV0024,ASV4239,,,,,,,,,,,
K01183,Average,4395040,1,0.000925027,0.000925027,1.14E-05,1.14E-05,,,,,,,,4395040,ASV3670,,,,,,,,,,,,,
K01183,Average,410196,3,0.000476497,0.001429491,1.77E-05,1.77E-05,,,,,,,,410196,ASV0814,,,,,,,,,,,,,
K01183,Average,511866,1,0.000422878,0.000422878,5.23E-06,5.23E-06,,,,,,,,511866,ASV0797,,,,,,,,,,,,,
K01183,Average,585394,3,0.006971313,0.020913939,0.000258438,0.000258438,,,,,,,,585394,ASV1952,,,,,,,,,,,,,
K01183,Average,687206,1,0.000402285,0.000402285,4.97E-06,4.97E-06,,,,,,,,687206,ASV2150,,,,,,,,,,,,,
K01183,Average,589071,2,0.001100289,0.002200578,2.72E-05,2.72E-05,,,,,,,,589071,ASV1104,ASV0942,ASV2191,,,,,,,,,,,
K01183,Average,545538,1,0.001754386,0.001754386,2.17E-05,2.17E-05,,,,,,,,545538,ASV1532,,,,,,,,,,,,,
K01183,Average,940348,1,0.001347904,0.001347904,1.67E-05,1.67E-05,,,,,,,,940348,ASV1119,,,,,,,,,,,,,
K01183,Average,1012112,1,0.000791502,0.000791502,9.78E-06,9.78E-06,,,,,,,,1012112,ASV3885,,,,,,,,,,,,,
K01183,Average,1051517,1,0.00473389,0.00473389,5.85E-05,5.85E-05,,,,,,,,1051517,ASV1575,ASV0578,ASV1859,ASV0428,,,,,,,,,,
K01183,Average,1108523,1,0.000422878,0.000422878,5.23E-06,5.23E-06,,,,,,,,1108523,ASV2044,,,,,,,,,,,,,
K01183,Average,991740,1,0.000952994,0.000952994,1.18E-05,1.18E-05,,,,,,,,991740,ASV3915,,,,,,,,,,,,,
K01183,Average,1117491,1,0.000960061,0.000960061,1.19E-05,1.19E-05,,,,,,,,1117491,ASV2302,,,,,,,,,,,,,
K01183,Average,1025153,1,0.000462513,0.000462513,5.72E-06,5.72E-06,,,,,,,,1025153,ASV1725,,,,,,,,,,,,,
K01183,Average,781203,1,0.001583005,0.001583005,1.96E-05,1.96E-05,,,,,,,,781203,ASV0902,,,,,,,,,,,,,
K01183,Average,1081489,1,0.000633202,0.000633202,7.82E-06,7.82E-06,,,,,,,,1081489,ASV1063,ASV2290,,,,,,,,,,,,
K01183,Average,590482,1,0.008974254,0.008974254,0.000110897,0.000110897,,,,,,,,590482,ASV0048,,,,,,,,,,,,,
K01183,Average,741010,3,0.000885391,0.002656173,3.28E-05,3.28E-05,,,,,,,,741010,ASV0342,,,,,,,,,,,,,
K01183,Average,814909,1,0.002020742,0.002020742,2.50E-05,2.50E-05,,,,,,,,814909,ASV1591,ASV2851,ASV1861,ASV0518,,,,,,,,,,
K01183,Average,765455,1,0.004764968,0.004764968,5.89E-05,5.89E-05,,,,,,,,765455,ASV3148,ASV1404,,,,,,,,,,,,
K01183,Average,851567,1,0.001542219,0.001542219,1.91E-05,1.91E-05,,,,,,,,851567,ASV2277,ASV1176,,,,,,,,,,,,
K01183,Average,1010927,3,1.121901039,3.365703117,0.041590668,0.041590668,,,,,,,,1010927,ASV6330,ASV0035,,,,,,,,,,,,
K01183,Average,585063,1,0.001375676,0.001375676,1.70E-05,1.70E-05,,,,,,,,585063,ASV2608,ASV0542,,,,,,,,,,,,
K01183,Average,310558,1,0.000137568,0.000137568,1.70E-06,1.70E-06,,,,,,,,310558,ASV1366,,,,,,,,,,,,,
K01183,Average,1074625,1,0.001754386,0.001754386,2.17E-05,2.17E-05,,,,,,,,1074625,ASV1330,ASV0590,ASV2533,ASV3578,,,,,,,,,,
K01183,Average,514272,1,0.000634797,0.000634797,7.84E-06,7.84E-06,,,,,,,,514272,ASV1987,,,,,,,,,,,,,
K01183,Average,814721,1,0.000952994,0.000952994,1.18E-05,1.18E-05,,,,,,,,814721,ASV2864,,,,,,,,,,,,,
K01183,Average,331093,1,0.000925026,0.000925026,1.14E-05,1.14E-05,,,,,,,,331093,ASV2215,ASV1023,,,,,,,,,,,,
K01183,Average,325947,2,0.000952994,0.001905988,2.36E-05,2.36E-05,,,,,,,,325947,ASV1510,ASV2051,,,,,,,,,,,,
K03791,Average,1124040,1,0.005601416,0.005601416,0.087011432,0.087011432,,,,,,,,1124040,ASV0705,ASV6601,,,,,,,,,,,,
K03791,Average,817734,2,0.001979761,0.003959522,0.061506533,0.061506533,,,,,,,,817734,ASV0372,,,,,,,,,,,,,
K03791,Average,646549,1,0.006447868,0.006447868,0.100160071,0.100160071,,,,,,,,646549,ASV0822,ASV6270,ASV0649,ASV0554,,,,,,,,,,
K03791,Average,581409,1,0.002074334,0.002074334,0.032222347,0.032222347,,,,,,,,581409,ASV0767,ASV1099,ASV0742,ASV0576,,,,,,,,,,
K03791,Average,813980,2,0.008681641,0.017363282,0.269718233,0.269718233,,,,,,,,813980,ASV1894,,,,,,,,,,,,,
K03791,Average,1033018,1,0.004957986,0.004957986,0.077016501,0.077016501,,,,,,,,1033018,ASV0390,ASV1214,ASV1260,ASV1138,ASV1983,,,,,,,,,
K03791,Average,359570,1,0.000412703,0.000412703,0.006410857,0.006410857,,,,,,,,359570,ASV2848,,,,,,,,,,,,,
K03791,Average,1074016,1,0.009530544,0.009530544,0.14804583,0.14804583,,,,,,,,1074016,ASV1060,ASV2289,ASV2264,,,,,,,,,,,
K03791,Average,658233,1,0.002057906,0.002057906,0.031967158,0.031967158,,,,,,,,658233,ASV2707,,,,,,,,,,,,,
K03791,Average,579033,1,0.000462513,0.000462513,0.007184597,0.007184597,,,,,,,,579033,ASV1790,,,,,,,,,,,,,
K03791,Average,877752,1,0.001911423,0.001911423,0.029691716,0.029691716,,,,,,,,877752,ASV1877,,,,,,,,,,,,,
K03791,Average,974121,1,0.001741305,0.001741305,0.027049132,0.027049132,,,,,,,,974121,ASV5585,ASV1324,ASV0186,ASV1394,ASV0495,ASV1205,ASV6268,ASV2363,,,,,,
K03791,Average,1124689,1,0.000646684,0.000646684,0.010045478,0.010045478,,,,,,,,1124689,ASV3316,,,,,,,,,,,,,
K03791,Average,2111163,1,0.001533594,0.001533594,0.023822585,0.023822585,,,,,,,,2111163,ASV0235,,,,,,,,,,,,,
K03791,Average,562576,1,0.001394263,0.001394263,0.021658241,0.021658241,,,,,,,,562576,ASV1046,,,,,,,,,,,,,
K03791,Average,1039092,1,0.001387244,0.001387244,0.021549209,0.021549209,,,,,,,,1039092,ASV1319,ASV1014,ASV0358,,,,,,,,,,,
K03791,Average,571263,2,0.000646684,0.001293368,0.020090956,0.020090956,,,,,,,,571263,ASV2577,,,,,,,,,,,,,
K03791,Average,541859,1,0.000646684,0.000646684,0.010045478,0.010045478,,,,,,,,541859,ASV1143,,,,,,,,,,,,,
K03791,Average,325947,1,0.000952994,0.000952994,0.014803645,0.014803645,,,,,,,,325947,ASV1510,ASV2051,,,,,,,,,,,,
K01452,Average,593437,1,0.013546514,0.013546514,0.000989332,0.000989332,,,,,,,,593437,ASV1151,ASV0107,ASV0280,ASV5241,ASV0999,ASV2923,ASV4939,,,,,,,
K01452,Average,773900,1,0.433008484,0.433008484,0.031623569,0.031623569,,,,,,,,773900,ASV0065,ASV0757,,,,,,,,,,,,
K01452,Average,579705,1,0.020823293,0.020823293,0.001520771,0.001520771,,,,,,,,579705,ASV0271,ASV0978,,,,,,,,,,,,
K01452,Average,517116,1,0.000960061,0.000960061,7.01E-05,7.01E-05,,,,,,,,517116,ASV6361,,,,,,,,,,,,,
K01452,Average,1108289,1,0.000952994,0.000952994,6.96E-05,6.96E-05,,,,,,,,1108289,ASV1935,,,,,,,,,,,,,
K01452,Average,91845,1,0.001281122,0.001281122,9.36E-05,9.36E-05,,,,,,,,91845,ASV2794,ASV6585,ASV5540,ASV6582,ASV4755,,,,,,,,,
K01452,Average,722628,1,0.044165153,0.044165153,0.003225479,0.003225479,,,,,,,,722628,ASV3618,ASV0344,ASV0043,ASV0123,ASV5170,,,,,,,,,
K01452,Average,705967,1,0.046795013,0.046795013,0.003417543,0.003417543,,,,,,,,705967,ASV6224,ASV0403,ASV0088,ASV1132,,,,,,,,,,
K01452,Average,1087462,1,0.001899606,0.001899606,0.000138732,0.000138732,,,,,,,,1087462,ASV2118,ASV2391,ASV2513,ASV1713,ASV2198,,,,,,,,,
K01452,Average,544324,1,0.00273224,0.00273224,0.000199542,0.000199542,,,,,,,,544324,ASV4240,ASV3831,,,,,,,,,,,,
K01452,Average,211089,1,0.000949803,0.000949803,6.94E-05,6.94E-05,,,,,,,,211089,ASV2275,,,,,,,,,,,,,
K01452,Average,188150,1,0.044321912,0.044321912,0.003236927,0.003236927,,,,,,,,188150,ASV0343,ASV5631,ASV3957,ASV0425,,,,,,,,,,
K01452,Average,217239,1,0.006131876,0.006131876,0.000447824,0.000447824,,,,,,,,217239,ASV6092,ASV0109,,,,,,,,,,,,
K01452,Average,1097359,1,0.005815695,0.005815695,0.000424733,0.000424733,,,,,,,,1097359,ASV0743,ASV0985,ASV0393,ASV1459,ASV3909,ASV0266,,,,,,,,
K01452,Average,936354,1,0.006291472,0.006291472,0.00045948,0.00045948,,,,,,,,936354,ASV4905,ASV0315,,,,,,,,,,,,
K01452,Average,238484,1,0.001546059,0.001546059,0.000112912,0.000112912,,,,,,,,238484,ASV0411,,,,,,,,,,,,,
K01452,Average,580625,1,0.007736321,0.007736321,0.000565001,0.000565001,,,,,,,,580625,ASV0561,ASV0658,ASV2928,,,,,,,,,,,
K01452,Average,813352,2,0.000316601,0.000633202,4.62E-05,4.62E-05,,,,,,,,813352,ASV4959,,,,,,,,,,,,,
K01452,Average,939811,1,2.03856254,2.03856254,0.14888074,0.14888074,,,,,,,,939811,ASV0556,ASV0024,ASV4239,,,,,,,,,,,
K01452,Average,512485,1,0.000646684,0.000646684,4.72E-05,4.72E-05,,,,,,,,512485,ASV0623,,,,,,,,,,,,,
K01452,Average,225487,1,0.002085637,0.002085637,0.000152319,0.000152319,,,,,,,,225487,ASV0486,ASV1914,,,,,,,,,,,,
K01452,Average,352392,1,0.0001583,0.0001583,1.16E-05,1.16E-05,,,,,,,,352392,ASV3892,ASV1677,,,,,,,,,,,,
K01452,Average,683891,1,0.001293368,0.001293368,9.45E-05,9.45E-05,,,,,,,,683891,ASV3596,ASV1117,,,,,,,,,,,,
K01452,Average,806566,1,0.0001583,0.0001583,1.16E-05,1.16E-05,,,,,,,,806566,ASV6605,,,,,,,,,,,,,
K01452,Average,1848083,1,0.014942618,0.014942618,0.001091293,0.001091293,,,,,,,,1848083,ASV3805,ASV0371,,,,,,,,,,,,
K01452,Average,568345,1,10.62759507,10.62759507,0.776156817,0.776156817,,,,,,,,568345,ASV3649,ASV1013,ASV5399,ASV1381,ASV0178,ASV6348,ASV0052,ASV0400,ASV0001,,,,,
K01452,Average,543065,1,0.003213492,0.003213492,0.000234688,0.000234688,,,,,,,,543065,ASV6474,ASV4231,,,,,,,,,,,,
K01452,Average,813945,1,0.000646684,0.000646684,4.72E-05,4.72E-05,,,,,,,,813945,ASV1903,ASV1233,,,,,,,,,,,,
K01452,Average,192970,1,0.00142949,0.00142949,0.000104399,0.000104399,,,,,,,,192970,ASV3845,,,,,,,,,,,,,
K01452,Average,1011088,1,0.359611369,0.359611369,0.026263215,0.026263215,,,,,,,,1011088,ASV0168,ASV0436,ASV0141,ASV0700,ASV1806,ASV0458,ASV2675,ASV4713,ASV0817,ASV6271,ASV1024,ASV6448,ASV3182,
K01452,Average,582083,1,0.000550271,0.000550271,4.02E-05,4.02E-05,,,,,,,,582083,ASV1338,ASV1848,,,,,,,,,,,,
K01452,Average,854272,1,0.000550271,0.000550271,4.02E-05,4.02E-05,,,,,,,,854272,ASV6265,ASV0878,ASV1076,,,,,,,,,,,
K01452,Average,804175,1,0.000675311,0.000675311,4.93E-05,4.93E-05,,,,,,,,804175,ASV6570,ASV0712,ASV5837,ASV1485,ASV4686,,,,,,,,,
K01452,Average,608293,1,0.000877193,0.000877193,6.41E-05,6.41E-05,,,,,,,,608293,ASV6434,ASV3991,,,,,,,,,,,,